yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentile,UBO_date,UBO_T0,UBO_T2,UBO_T0_capped,UBO_T2_capped,UBO_assay_score,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites/100bees,nosema_load_spores/bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Ferland,,70,22,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,21,139,26,81.29%,,,,,,,,,0,2,0,100000,,,,,,,,,,
Ferland,,71,21,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,10,150,62,58.67%,,,,,,,,,1,3,0.3333333333,150000,,,,,,,,,,
Ferland,,72,20,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,38,122,39,68.03%,,,,,,,,,0,16,0,800000,,,,,,,,,,
Brigham,,35,1,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,12,148,85,42.57%,,,,,,,,,0,1,0,50000,,,,,,,,,,
Brigham,,38,7,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,20,140,13,90.71%,,,,,,,,,0,0,0,0,,,,,,,,,,
Brigham,,36,4,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,9,151,81,46.36%,,,,,,,,,0,0,0,0,,,,,,,,,,
Brigham,,39,13,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,16,144,109,24.31%,,,,,,,,,0,4,0,200000,,,,,,,,,,
Brigham,,41,6,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,1,159,35,77.99%,,,,,,,,,0,1,0,50000,,,,,,,,,,
Brigham,,40,11,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,15,145,9,93.79%,,,,,,,,,0,0,0,0,,,,,,,,,,
Brigham,,34,2,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,
Brigham,,37,5,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,10,150,41,72.67%,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,46,13,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,22,138,21,84.78%,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,43,10,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,14,146,65,55.48%,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,44,5,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,6,154,58,62.34%,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,42,11,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,20,140,66,52.86%,,,,,,,,,1,1,0.3333333333,50000,,,,,,,,,,
Camisa,,48,19,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,22,138,47,65.94%,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,45,16,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,4,156,37,76.28%,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,,
Camisa,,47,14,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,3,157,62,60.51%,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,59,2,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,13,147,48,67.35%,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,60,9,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,12,148,70,52.70%,,,,,,,,,1,0,0.3333333333,0,,,,,,Incomplete (pupae partially alive after HB test- needs re-do),,,,
Yandow,,61,UVM1,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,38,122,21,82.79%,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,62,UVM2,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,0,160,117,26.88%,,,,,,,,,0,0,0,0,,,,,,Incomplete,,,,
Yandow,,63,UVM3,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,6,154,82,46.75%,,,,,,,,,0,0,0,0,,,,,,successful freeze,,,,
Yandow,,64,UVM4,,6/25/21,2,2021,,,,,,,,,,,SWMD ?,,6/23/21,6/25/21,18,142,81,42.96%,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,65,24,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,13,147,64,56.46%,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,66,UVM5,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,14,146,78,46.58%,,,,,,,,,0,0,0,0,,,,,,Incomplete,,,,
Allard,,56,25,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,15,145,29,80.00%,,,,,,,,,0,1,0,50000,,,,,,,,,,
Allard,,49,14,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,9,151,26,82.78%,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,,
Allard,,55,20,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,13,147,69,53.06%,,,,,,,,,14,0,4.666666667,0,,,,,,,,,,
Allard,,58,7,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,4,156,84,46.15%,,,,,,,,,3,0,1,0,,,,,,,,,,
Allard,,50,8,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,17,143,44,69.23%,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,,
Allard,,53,15,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,26,134,6,95.52%,,,,,,,,,7,0,2.333333333,0,,,,,,,,,,
Allard,,57,9,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,21,139,62,55.40%,,,,,,,,,7,0,2.333333333,0,,,,,,,,,,
Allard,,51,16,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,30,130,9,93.08%,,,,,,,,,4,0,1.333333333,0,,,,,,,,,,
Allard,,52,18,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,4,156,44,71.79%,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,,
Allard,,54,17,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,27,133,42,68.42%,,,,,,,,,12,0,4,0,,,,,,,,,,
Martin,,29,21G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,50000,,,,,,received 1st mite treatment,,,,
Martin,,31,22G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,received 1st mite treatment,,,,
Martin,,26,16G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.6666666667,0,,,,,,received 1st mite treatment,,,,
Martin,,21,14G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,5,0,,,,,,received 1st mite treatment,,,,
Martin,,23,02G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,6.666666667,50000,,,,,,received 1st mite treatment,,,,
Martin,,24,25G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,50000,,,,,,received 1st mite treatment,,,,
Martin,,22,14GA,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,3.666666667,0,,,,,,received 1st mite treatment,,,,
Martin,,32,18G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1.666666667,0,,,,,,received 1st mite treatment,,,,
Martin,,28,27G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,5,0,,,,,,received 1st mite treatment,,,,
Martin,,25,26G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,,,,,,received 1st mite treatment,,,,
Martin,,30,19G,,8/5/21,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,7.333333333,0,,,,,,"signs of chalkbrood? — what looks like discolored, dried up larvae in a few cells, received 1st mite treatment",,,,
