yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentage,UBO_date,UBO_start_time,UBO_end_time,UBO_start_capped,UBO_end_uncapped,UBO_percentile,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Yandow,,65,24,,6/2/21,1,2021,78,2019,,,7,,7,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,66,UVM5,,6/2/21,1,2021,69,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,56,25,,6/2/21,1,2021,78,2019,,,8,,8,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,49,14,,6/2/21,1,2021,78,2019,,,12+,,12,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,55,20,,6/2/21,1,2021,,2019,,,12,,12,,,,,,,,,,,,,,,,,,,,5,0,1.666666667,0,,,,,,,,,,
Allard,,58,7,,6/2/21,1,2021,69,2020,,,9+,,9,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,50,8,,6/2/21,1,2021,68 NDQ,2018,,,10,,10,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,53,15,,6/2/21,1,2021,69,2019,,,8,,8,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Allard,,57,9,,6/2/21,1,2021,65,2019,,,15+,,15,,,,,,,,,,,,,,,,,,,,2,0,0.666666667,0,,,,,,,,,,
Allard,,51,16,,6/2/21,1,2021,67,2019,,,12,,12,,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,,
